Abreviacion,Nombre
CBNA,Citibank North America
CC/FB&T,Mercury Credit Card / First Bank & Trust
CCB/AAARWD,Comenity Capital Bank / AAA (American Automobile Association) Rewards corregir
CCB/ALPCRD,Comenity Capital Bank / Alphaeon Credit Card
CCB/BOSCOVS,Comenity Capital Bank / Boscov’s
CCB/DELL,Comenity Capital Bank / Dell (Dell Pay)
CCB/IDD,Comenity Capital Bank / Iddeal Jewelry
CCB/OPPLNS,Comenity Capital Bank/Opportunity Loans
CCB/OVERST,Comenity Capital Bank / The Overstock Store Credit Card
CCB/ULTAMC,Comenity Capital Bank / Ulta Beauty MasterCard
CITICARDS CBNA,Citi Bank of North America - Citi Card
CRBUPSTART,Cross River Bank / Upstart
FB&T/MERCURY,First Bank & Trust / Mercury Financial 
FCC/TBOM,Fortiva Credit Card/The Bank of Missouri
FEB/OPPLNS,First Electronic Bank / OppLoans
FEBDESTINY,First Electronic Bank / Destiny Enterprise
FETTIFHT/W,Fingerhut / Web Bank
FST PREMIE,First Premiere Bank
GS BANK-GM,Goldman Sachs - General Motors
GS BANKUSA,Goldman Sachs Bank USA
GS LOAN SV,Greensky Loan
KASHABLELL,Kashable LLC
KOHLS/CAPONE,Kohl's / Capital One
LENDCLUBBK,Lending Club Bank
LENDMARK,Lendmark Financial
MSNLNTAB,"Mission Lane - Transportation Alliance Bank, Inc."
NCA,"National Credit Adjusters, LLC"
NORDSTM/TD,NORDSTROM/TD Bank
"PNC BANK, NA","PNC Bank, National Association"
RDWD CR UN,Redwood Credit Union
SELFINC/LEAD,Self Financial / Lead Bank
SP CST CU,Space Coast Credit Union
SWISSCOLON,Swiss Colony 
SYNCB/AMAZ,Synchrony Bank / Amazon
SYNCB/BELKDC,Synchrony Bank / Belk Dual Credit
SYNCB/BRMART,Synchrony Bank / BrandsMart U.S.A.
SYNCB/HSN,Synchrony Bank / Home Shopping Network
SYNCB/MC,Synchrony Bank / Mastercard
SYNCB/NTWK,Synchrony Bank / Network
SYNCB/PPMC,Synchrony Bank / PayPal Master Card
SYNCB/RMSTGO,Synchrony Bank / Rooms To Go
SYNCB/TJX,Synchrony Bank / TJ Maxx
SYNCB/TJXDC,"Synchrony Bank / The TJX Companies (T.J. Maxx, Marshalls, HomeGoods)"
TBOM/ACC,The Bank of Missouri / Aspire Credit Card
TBOM/CONTFIN,The Bank of Missouri / Continental Finance
TD/TARGET,TD Bank / Target Credit card
THD/CBNA,The Home Depot / Citibank North America
UPLFT/CB,Uplift / Celtic Bank
UPSTFINWSE,Upstart Finwise
WEBBANK/OM,WebBank /  OneMain Financial
WFB CD SVC,Wells Fargo Credit Services
WORLD FIN,World Finance
